Name,Location,Type,Website,Amount (up to EUR),Description / Eligibility,Website Domain
Austrian Life Sciences Program,Austria,Grant,https://www.ffg.at/ausschreibung/AustrianLifeSciences-2023,,"Through the targeted application of funding formats tailored to the Life Sciences sector, the Austrian Life Sciences Call 2023 is designed to support R&D activities along the entire development path (bench to bedside) in order to meet the high capital requirements typical of the industry. It should also play a role in maintaining Austria’s attractiveness as a research location for conducting clinical studies, so that it remains internationally competitive, and establishes more sustainable, robust, innovative, and high-quality health and care systems that put people at the centre.",ffg.at/ausschreibung/AustrianLifeSciences-2023
aws Adoption,Austria,Grant,https://www.aws.at/aws-digitalisierung/ai-unternehmen-wachstum/ai-adoption/,150.0,"This information provides an overview of special terms/conditions: AI adoption. The aim of special conditions/conditions: AI-Adoption (AI-A) is the promotion of innovative, trustworthy AI projects in Austria.
A special focus is on preparing for upcoming AI regulations, standards, norms and certifications.",aws.at/aws-digitalisierung/ai-unternehmen-wachstum/ai-adoption/
aws Creative Impact,Austria,Grant,http://www.aws.at/en/aws-creative-impact/,200.0,"aws Creative Impact is one of Austria Wirtschaftsservice’s grant programs for startups and small businesses. But first, let’s define what Austria Wirtschaftsservice actually is:

Austria Wirtschaftsservice (aws) is the Austrian federal government’s development bank that supports companies in investing in innovative projects.

aws offers companies and startups various grants, they are:

(1) “soft loans” (low-interest loans)

(2) guarantees (to companies that need to apply for bank loans yet fail to do so as default risk is too high)

(3) repayable and non repayable grants (the latter being essentially free money)

Creative Impact is a grant program that aims to promote innovative new products and services. Therefore, the funding covers for expenses incurred for the development of prototypes and go-to-market strategy and implementation.

Successful applicants receive up to €200,000 non-repayable grant, to be be disbursed in 3 tranches over the life of the project (1 to 3 years max.) and which shall cover 50-70% of the eligible project costs.

Eligible project costs the grant can fund include:

Employees salaries
Material and equipment costs (e.g. intellectual property, machinery, tools, tech infrastructure, etc.)
Subcontractor fees directly involved in the project (e.g. market research, marketing & communication, coaching, etc.)
Overheads incurred as part of the project",aws.at/en/aws-creative-impact/
aws Growth,Austria,Grant,http://www.aws.at/en/aws-growth-investment/,400.0,"aws Growth investment (aws Wachstumsinvestition) is another of Austria’s top startup grants. It’s also another of aws’ grant programs that support innovation projects.

Yet, unlike Creative Impact, Growth investment is specifically aimed at projects that focus on strengthening a company’s market position.

Successful applicants receive on average anywhere between €300,000 to €400,000 non-repayable grant funding, to be disbursed in phases, over the life of the project (2 years maximum).

The type of costs eligible to be covered by the grant include: machinery, prototypes, technical equipment and other material and equipment investment. Therefore, it’s important to note that Growth investment doesn’t cover any overheads, nor salaries and other subcontractor fees.",aws.at/en/aws-growth-investment/
aws Preseed,Austria,Grant,http://www.aws.at/en/aws-preseed/,200.0,"aws Preseed is aws’ grant program for deep tech early-stage startups. The grant aims to help startups assess and validate a Proof-of-Concept (POC).

To be eligible, your company must be considered “deep tech” i.e. operating in either ICT, Life Sciences, Physical Sciences or Green tech. Also, the project must have significant growth potential, with “several million euros in sales” and a minimum €5 million in funding over the next few years.

The grant amounts to up to €200,000 and covers 100% of expenses incurred as part of the POC. Eligible expenses can be:

Any other expenses related to product development and market launch
Any costs incurred for market research, studies and feasibility analyses
Employees salaries and material and equipment costs related directly to the POC work",aws.at/en/aws-preseed/
aws Seedfinancing,Austria,Grant,https://www.aws.at/en/aws-seedfinancing-deep-tech/,800.0,"aws Seedfinancing is another of Austria’s top grants for startups. Like aws Preseed, aws Seedfinancing focuses only on deep tech startups. Yet, unlike aws Preseed, this grant is repayable.

The grant funding aims to bridge the financing gap of deep tech startups developing innovative products and services, yet that need additional funding to either develop their products or go to market.

To be eligible, your business must be considered deep tech and have less than 50 employees, and annual sales or balance sheet assets of mo more than €10 million.

The amount is significantly higher though: companies can indeed receive up to €800,000 over 1 to 2 years. Also, the grant must be repaid no later than 12 years later, which gives ample room for businesses to generate positive cash flows.",aws.at/en/aws-seedfinancing-deep-tech/
FFG AI for Green,Austria,Grant,https://www.ffg.at/ai,2000000.0,"The protection of the environment, climate, resources and the preservation of biodiversity are central goals for a sustainable development of the world (SDGs). Only through far-reaching transformation steps in all areas of life will people be able to secure a world worth living in for future generations. In this context, the Austrian federal government has set itself the goal of achieving climate neutrality by 2040. In order to achieve these goals, measures must be taken to protect the climate and the environment (mitigation) and to adapt to the consequences of climate change (adaptation). Research in the field of artificial intelligence/artificial intelligence (AI/AI) can support technology and politics in curbing climate change and thereby contribute to protecting the environment. The provision or further development of algorithms and AI systems can help, for example, in adapting to the consequences of climate change by providing the energy, production, agriculture and forestry or disaster management sectors with a more precise basis for decision-making.",ffg.at/ai
FFG General Program,Austria,"Grant,Loan",https://www.ffg.at/en/programme/general-programme,3000000.0,"The funding strategy of General Programme is fundamentally based on the bottom-up principle. It is open to all branches of industry and research topics and eligible to companies and projects of all sizes. General Programme aims to strengthen the competiveness of companies based in Austria by funding the development of new products, processes and services. Funding is up to 50 % (for Startups up to 70 %) of total eligible project costs. The FFG uses a combination of several financing instruments - such as grants as well as low-interest loans. Submission of an application is possible at any time.",ffg.at/en/programme/general-programme
FFG Innovation,Austria,Grant,http://www.ffg.at/en/programme/impactinnovation,150.0,"FFG Impact Innovation is one of Austria’s 2nd government innovation fund: FFG.

FFG is the Austrian Research Promotion Agency (Österreichische Forschungsförderungsgesellschaft), a government-backed body which objective is to foster investment in innovation for new and existing businesses in Austria.

It offers multiple benefits to businesses via a number of funding programs. In that sense, FFG is very similar to aws. Yet, FFG also offers different services (mentorship, consulting, trainings, etc.) on top of the grants it offers.

FFG Impact Innovation is a grant program opens for all types of small and medium entreprises (SMEs) such as startups, but also entrepreneurs, associations and other non-profit organizations.

The funding aims to help organisations and entrepreneurs to invest in innovation and research & development (R&D) projects, with the intent to create a new service, product or process.

The grant funds 50% of eligible project costs, with a maximum of €75,000 (total project costs must not be higher than €150,000). Also, the project must not last more than 12 months.",ffg.at/en/programme/impactinnovation
Forschungsprämie,Austria,Grant,,,"Companies can receive a research premium for research and experimental development expenditures in the amount of can claim a research premium amounting to 14 percent of the total research expenditure in a of the total research expenditure in a fiscal year. Both in-house research and commissioned research are eligible for the

research as well as commissioned research.",
Impact Innovation,Austria,Grant,https://www.ffg.at/programm/impactinnovation,75.0,"You have come across a problem for which no satisfactory solution has been found yet? Well why not do something about it! The FFG's Impact Innovation funding scheme encourages you to find or test your ideas using innovation methods, and will pay half of the costs. Up to 75,000 euros are available, no matter which topic you choose or which sector you operate in.",ffg.at/programm/impactinnovation
Markt Start,Austria,Grant,http://www.ffg.at/en/programme/marktstart,250.0,,ffg.at/en/programme/marktstart
Patent.check,Austria,Grant,https://www.ffg.at/en/programme/patentvoucher,12.5,,ffg.at/en/programme/patentvoucher
Project.start,Austria,Grant,https://www.ffg.at/en/programme/projektstart,10.0,"Projekt.Start is an attractive SME funding instrument for the support of preparatory work for a concrete research project. Both internal preparation costs and external expenses and specialist, project-specific support can be funded. The total project costs of up to € 10,000,- can be approved, whereby the external services must not amount to more than half of these costs. The funding level is 60 % and the funding is limited to max. € 6.000,- (non-repayable subsidies). Submission of an application is possible at any time.",ffg.at/en/programme/projektstart
