Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
3TS Capital Partners,https://3tscapital.com,"Kaisaniemenkatu 2B, 8th floor FIN-00100 Helsinki, Finland","finland,poland,bulgaria,luxembourg,austria,turkey,czech republic,slovakia,hungary","3. Early Revenue,4. Scaling,5. Growth","We invest in exceptional high growth SMEs, which are either proven businesses becoming local leaders or truly innovative global challengers. As a stage-agnostic investor we typically invest in the range of €300,000 to €10 million to finance expansion plans, acquisitions and buyouts.

3TS primarily targets investments in the broader TMT sectors including Technology & Internet (Software, Hardware, Mobile, Ecommerce, etc.), Media & Communications (Digital Media, Operators, etc.) and Technology-Enabled Services (Consumer and Business Services, Healthcare Services, etc.).",VC,$250000,$12000000
3VC,https://www.three.vc/,"Seilergasse 9, 1010 Vienna, Austria","austria,bulgaria,croatia,czech republic,estonia,germany,hungary,latvia,lithuania,poland,romania,serbia,slovakia,slovenia,switzerland,ukraine","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,$1000000,$5000000
7percent Ventures,http://www.7percent.vc,"207 Regent Street, London, United Kingdom","usa,albania,andorra,austria,belarus,belgium,bosnia-h,bulgaria,croatia,cyprus,czech republic,denmark,estonia,finland,france,georgia,germany,greece,holy see,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,malta,moldova,monaco,montenegro,netherlands,north macedonia,norway,poland,portugal,romania,san marino,serbia,slovakia,slovenia,spain,sweden,switzerland,uk,ukraine","2. Prototype,3. Early Revenue","We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.",VC,$100000,$2000000
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","kenya,nigeria,brazil,colombia,mexico,india,indonesia,philippines,singapore,vietnam,france,germany,spain,uk,egypt,israel,uae","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,$100000,$200000
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","usa,canada,uk,hong kong,taiwan,new zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,$25000,$250000
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",france,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners. ,Angel network,$20000,$500000
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","turkey,romania,albania,azerbaijan,bosnia-h,bulgaria,czech republic,lithuania,serbia,uzbekistan,uae,ukraine,turkmenistan,poland,qatar,hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,$1000000,$5000000
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator",$100000,$1000000
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","france,italy,spain,uk,germany,portugal,netherlands,switzerland,israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,$150000,$8000000
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","slovakia,czech republic,hungary,poland,estonia,latvia,lithuania,uk,germany,belgium,netherlands,austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,$50000,$500000
